Constituency No,Constituency Name,Party,Candidate
1,Ichchapuram,TDP,Ashok Bendalam
1,Ichchapuram,YSRCP,Piriya Vijaya
1,Ichchapuram,BSP,Bisai Vedavara
1,Ichchapuram,INC,Masupatri Chakravarthi Reddy
1,Ichchapuram,Independent,Surya Vara Prasada Rao Jannela
1,Ichchapuram,BCYP,Baddi Mukhalingam
1,Ichchapuram,JRBP,Labala Viswanadham
1,Ichchapuram,Independent,Murapala Lakshmi
1,Ichchapuram,Independent,Suggu Chakravarthi
1,Ichchapuram,NOTA,None Of The Above
2,Palasa,YSRCP,Appalaraju Seediri
2,Palasa,TDP,Gouthu Sireesha
2,Palasa,INC,Majji Trinath Babu
2,Palasa,BSP,Nagiri Srinivasa Rao
2,Palasa,JBNP,Anil Raju GMS
2,Palasa,BCYP,Appalaraju Moturu
2,Palasa,CPI(ML)(L),Kameswararao Pothanapalli
2,Palasa,Independent,Karni Venkataramana Murty
2,Palasa,Independent,Telagavalasa Jayaram
2,Palasa,Independent,D. Veeraswami
2,Palasa,NOTA,None Of The Above
3,Tekkali,Telugu Desam,Atchannaidu Kinjarapu
3,Tekkali,Indian National Congress,Killi Krupa Rani
3,Tekkali,Bahujan Samaj Party,Chintada Srinivasa Rao
3,Tekkali,Yuvajana Sramika Rythu Congress Party,Duvvada Srinivas
3,Tekkali,Jai Bharat National Party,Bypalli Parameswararao
3,Tekkali,Independent,Attada Rajesh
3,Tekkali,Independent,Geddavalasa Ramu
3,Tekkali,None of the Above,NOTA
4,Pathapatnam,Indian National Congress,Koppurautu Venkata Rao
4,Pathapatnam,Bahujan Samaj Party,Boddepalli Krishna Rao
4,Pathapatnam,Telugu Desam,Mamidi Govinda Rao
4,Pathapatnam,Yuvajana Sramika Rythu Congress Party,Reddy Shanthi
4,Pathapatnam,Jai Bharat National Party,Golla Tirupathi Rao
4,Pathapatnam,Gondwana Dandkaranya Party,Janni Sanjeeva Rao
4,Pathapatnam,Independent,Asapanna Sankara Rao
4,Pathapatnam,Independent,Koyyana Govinda Rao
4,Pathapatnam,Independent,Baggu Krushna
4,Pathapatnam,Independent,R. Mohana Rao
4,Pathapatnam,None of the Above,NOTA
5,Srikakulam,Indian National Congress,Ambati Krishna Rao
5,Srikakulam,Bahujan Samaj Party,Gujjala Suryanarayana
5,Srikakulam,Telugu Desam,Gondu Shankar
5,Srikakulam,Yuvajana Sramika Rythu Congress Party,Dharmana Prasada Rao
5,Srikakulam,Pyramid Party of India,Kari Lakshmana
5,Srikakulam,Bharatha Chaitanya Yuvajana Party,Panili Prasad
5,Srikakulam,Jai Bharat National Party,Ragolu Nagasiva
5,Srikakulam,None of the Above,NOTA
6,Amadalavalasa,Indian National Congress,Annajirao Sanapala
6,Amadalavalasa,Telugu Desam,Koona Ravi Kumar
6,Amadalavalasa,Yuvajana Sramika Rythu Congress Party,Thammineni Seetaram
6,Amadalavalasa,Bahujan Samaj Party,Someswara Rao Lasa
6,Amadalavalasa,Jaathia Chethi Vruthula Ikya Vedika Party,Gurugu Revathi
6,Amadalavalasa,Jai Bharat National Party,Buridi Gouri Shankar
6,Amadalavalasa,Pyramid Party of India,Muddada Madhusudana Rao
6,Amadalavalasa,Bharatha Chaitanya Yuvajana Party,Sepena Srinivasa Rao
6,Amadalavalasa,Independent,Ganapathi Jagadeeswara Rao (Jagadeesh)
6,Amadalavalasa,Independent,Gandhi Suvvari
6,Amadalavalasa,Independent,Muddada Rambujji
6,Amadalavalasa,Independent,Lolugu Venkata Rajasekhar
6,Amadalavalasa,Independent,Sanapala Suresh Kumar
6,Amadalavalasa,None of the Above,NOTA
7,Etcherla,Bharatiya Janata Party,Eswara Rao Nadukuditi
7,Etcherla,Indian National Congress,Karimajji Malleswara Rao
7,Etcherla,Yuvajana Sramika Rythu Congress Party,Kiran Kumar Gorle
7,Etcherla,Bahujan Samaj Party,Gantlana Ramarao
7,Etcherla,Pyramid Party of India,Koneti Neelachalam
7,Etcherla,Jai Bharat National Party,Barri Korlayya
7,Etcherla,Independent,Nadupuru Eswara Rao
7,Etcherla,Independent,Gorle Kiran Kumar
7,Etcherla,Independent,Gorle Rambabu
7,Etcherla,Independent,Ramya Suvvaru
7,Etcherla,None of the Above,NOTA
8,Narasannapeta,Yuvajana Sramika Rythu Congress Party,Krishnadas Dharmana
8,Narasannapeta,Indian National Congress,Manthri Narasimhamaurthy
8,Narasannapeta,Telugu Desam,Baggu Ramanamurthy
8,Narasannapeta,Navarang Congress Party,Kaya Kameswari
8,Narasannapeta,Jai Bharat National Party,Cheepuru Ravi
8,Narasannapeta,Independent,Bora Venkata Satyendranath Abhishek
8,Narasannapeta,Independent,Mylapalli Jagadeesh
8,Narasannapeta,None of the Above,NOTA
9,Rajam,Indian National Congress,Kambala Rajavardhana
9,Rajam,Telugu Desam,Kondru Murali Mohan
9,Rajam,Yuvajana Sramika Rythu Congress Party,Dr. Tale Rajesh
9,Rajam,Bahujan Samaj Party,Boccha Buddudu
9,Rajam,Jai Bharat National Party,Kuppili Chaitanyakumar
9,Rajam,Jaibhim Rao Bharat Party,Podugu Ramakrishna
9,Rajam,Independent,Yenni Raju
9,Rajam,Independent,Gandi Apparao
9,Rajam,Independent,Majji Ganapathi
9,Rajam,Independent,Mannena Ramesh
9,Rajam,None of the Above,NOTA
10,Palakonda,Indian National Congress,Chanti Babu Savara
10,Palakonda,Yuvajana Sramika Rythu Congress Party,Viswasarayi Kalavathi
10,Palakonda,Bahujan Samaj Party,Vooyaka Bhanu Chandar
10,Palakonda,Jatiya Jana Sena Party,Krishna Nimmaka
10,Palakonda,Janasena Party,Jayakrishna Nimmaka
10,Palakonda,Navarang Congress Party,Jaipalu Kadraka
10,Palakonda,Gondwana Dandkaranya Party,Biddika Uma Maheswara Rao
10,Palakonda,None of the Above,NOTA
11,Kurupam,Telugu Desam,Jagadeeswari Thoyaka
11,Kurupam,Bahujan Samaj Party,Tadangi Minnarao
11,Kurupam,Yuvajana Sramika Rythu Congress Party,Pamula Pushpa Sreevani
11,Kurupam,Communist Party of India (Marxist),Mandangi Ramana
11,Kurupam,Independent,Addakula Geetharani
11,Kurupam,Independent,Tadangi Srihari Rao Naidu
11,Kurupam,Independent,Mosuru Naga Bushan
11,Kurupam,None of the Above,NOTA
12,Parvathipuram,Yuvajana Sramika Rythu Congress Party,Alajangi Jogarao
12,Parvathipuram,Bahujan Samaj Party,Kuppili Venkata Ramana
12,Parvathipuram,Indian National Congress,Bathina Mohanarao
12,Parvathipuram,Telugu Desam,Bonela Vijaya Chandra
12,Parvathipuram,Jaibhim Rao Bharat Party,Gunta Jyothi
12,Parvathipuram,Jai Bharat National Party,Potnuru Kiran Kumar (Raj Kiran)
12,Parvathipuram,Independent,Udaya Bhanu Garbhapu
12,Parvathipuram,Independent,Garbhapu Mohana Rao
12,Parvathipuram,None of the Above,NOTA
13,Salur,Telugu Desam,Gummidi Sandhyarani
13,Salur,Bahujan Samaj Party,Muvvala Gnanaprakasam
13,Salur,Indian National Congress,Muvvala Pushpirao
13,Salur,Yuvajana Sramika Rythu Congress Party,Rajanna Dora Peedika
13,Salur,Samajwadi Party,Pusuru Sai
13,Salur,Independent,Kanchuri Bangaru Raju
13,Salur,Independent,Kella Murali
13,Salur,None of the Above,NOTA
14,Bobbili,Indian National Congress,Maripi Vidyasagar (Vinay)
14,Bobbili,Telugu Desam,R.V.S.K.K. Ranga Rao @ Babynayana
14,Bobbili,Yuvajana Sramika Rythu Congress Party,Venkata China Appala Naidu Sambangi
14,Bobbili,Bahujan Samaj Party,Savalapuram Ramana
14,Bobbili,Samajwadi Party,Kiran Kumar Reddy
14,Bobbili,Jaibhim Rao Bharat Party,Maradana Venkata Naidu
14,Bobbili,Independent,Prasanth Aketi
14,Bobbili,Independent,Marrapu Bhanu Murty
14,Bobbili,None of the Above,NOTA
15,Cheepurupalle,Indian National Congress,Aadinarayana Jammu
15,Cheepurupalle,Telugu Desam,Kalavenkatarao Kimidi
15,Cheepurupalle,Yuvajana Sramika Rythu Congress Party,Botcha Satyanarayana
15,Cheepurupalle,Bahujan Samaj Party,Sabbi Satyanarayana
15,Cheepurupalle,Reforms Party of India,Adapaka Suribabu
15,Cheepurupalle,Jaibhim Rao Bharat Party,Kanigiri Srinivasarao
15,Cheepurupalle,Independent,Gurugubelli Appalanaidu
15,Cheepurupalle,None of the Above,NOTA
16,Gajapathinagaram,Yuvajana Sramika Rythu Congress Party,Appalanarasayya Botcha
16,Gajapathinagaram,Telugu Desam,Kondapalli Srinivas
16,Gajapathinagaram,Bahujan Samaj Party,Chelluboina Srinu
16,Gajapathinagaram,Indian National Congress,Dola Srinivas
16,Gajapathinagaram,Pyramid Party of India,Kakarlapudi Sandhya
16,Gajapathinagaram,Samajwadi Party,Kilaparthi Kumar Raja
16,Gajapathinagaram,Naba Bharata Nirmana Seva Party,Kotthali Gowri Naidu
16,Gajapathinagaram,Jaibhim Rao Bharat Party,Penta Sankara Rao
16,Gajapathinagaram,Jai Bharat Party,Lenka Suryarao
16,Gajapathinagaram,Independent,Appalanaidu Kilari
16,Gajapathinagaram,Independent,Kurminaidu Gadapu
16,Gajapathinagaram,Independent,Talupula Sankar Rao
16,Gajapathinagaram,Independent,Mulagala Durga Rao
16,Gajapathinagaram,None of the Above,NOTA
17,Nellimarla,Yuvajana Sramika Rythu Congress Party,Appalanaidu Baddukonda
17,Nellimarla,Bahujan Samaj Party,Yerukonda Teja Rani
17,Nellimarla,Indian National Congress,Saragada Ramesh Kumar
17,Nellimarla,Reforms Party of India,Adapaka Suribabu
17,Nellimarla,Samajwadi Party,Karri Krishan
17,Nellimarla,Jaibhim Rao Bharat Party,Tompala Narasayya
17,Nellimarla,Akhil Bharatiya Jan Sangh,Nadipena Srinu
17,Nellimarla,Jatiya Jana Sena Party,Majji Nagamani
17,Nellimarla,Navarang Congress Party,Lenka Madhavi
17,Nellimarla,Janasena Party,Lokam Naga Madhavi
17,Nellimarla,Independent,Kandammatil Jayesh
17,Nellimarla,Independent,Pasupuleti Satya Prasad Babu
17,Nellimarla,None of the Above,NOTA
18,Vizianagaram,Telugu Desam,Aditi Vijayalakshmi Gajapathi Raju Pusapati
18,Vizianagaram,Bahujan Samaj Party,Arji Sivaprasad
18,Vizianagaram,Yuvajana Sramika Rythu Congress Party,Kolagatla Veerabhadra Swamy
18,Vizianagaram,Indian National Congress,Satish Kumar Sunkari
18,Vizianagaram,Samajwadi Party,Karunakar Penumatsa
